mashup_id,API_id,rating
0,0,1
0,1,1
0,2,1
1,0,1
1,3,1
2,4,1
2,5,1
2,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,1
3,14,1
3,15,1
3,16,1
4,0,1
4,17,1
4,15,1
5,18,1
5,19,1
5,8,1
6,0,1
6,9,1
6,10,1
6,13,1
6,20,1
7,0,1
7,21,1
8,22,1
8,23,1
8,24,1
9,0,1
9,9,1
9,25,1
9,26,1
9,27,1
10,28,1
10,29,1
10,30,1
10,31,1
10,8,1
10,17,1
10,32,1
10,33,1
10,34,1
10,35,1
10,36,1
10,37,1
10,38,1
10,25,1
10,39,1
10,40,1
10,41,1
10,42,1
10,43,1
10,44,1
10,45,1
11,0,1
11,11,1
12,46,1
12,5,1
13,4,1
13,42,1
13,47,1
14,48,1
14,8,1
15,4,1
15,25,1
16,28,1
16,49,1
16,50,1
16,29,1
16,51,1
16,52,1
16,53,1
16,54,1
16,31,1
16,55,1
16,19,1
16,56,1
16,57,1
16,58,1
16,17,1
16,59,1
16,60,1
16,61,1
16,62,1
16,63,1
16,5,1
16,64,1
16,65,1
16,66,1
16,67,1
16,68,1
16,69,1
16,70,1
16,71,1
16,25,1
16,72,1
16,73,1
16,74,1
16,75,1
16,42,1
16,76,1
16,77,1
16,78,1
16,79,1
16,80,1
16,81,1
16,82,1
16,83,1
16,84,1
16,85,1
16,86,1
16,87,1
16,88,1
16,89,1
16,90,1
16,91,1
16,92,1
16,93,1
16,94,1
16,95,1
16,96,1
16,97,1
16,98,1
16,99,1
16,100,1
16,101,1
16,102,1
16,103,1
16,104,1
17,28,1
17,31,1
17,17,1
17,62,1
17,105,1
17,77,1
17,106,1
17,107,1
17,108,1
18,4,1
18,109,1
18,25,1
18,47,1
19,0,1
19,110,1
19,111,1
20,0,1
20,105,1
21,48,1
21,112,1
21,3,1
21,105,1
21,77,1
21,21,1
22,0,1
22,113,1
23,0,1
23,105,1
24,114,1
24,106,1
25,115,1
25,116,1
26,18,1
